id_jugador;nombre_jugador;id_equipo;estado;score_temporada;score_reciente;evolucion
23;Sergio Gómez;548;Estable;4.78;4.61;-0.17
183699;Urko González;540;Estable;4.48;4.64;0.16
925;Gonçalo Guedes;548;Rendimiento Alto;4.83;5.25;0.42
405073;Jon Martin;548;Estable;4.87;4.95;0.08
182546;Jon Pacheco;542;Estable;4.75;4.75;0.0
7332;Luka Sučić;548;Estable;4.18;4.24;0.05
288384;Mikel Goti;548;Pocos minutos;4.02;0.0;0.0
183748;Jon Karrikaburu;548;Pocos minutos;3.86;0.0;0.0
278619;Luiz Júnior;533;Rendimiento Bajo;4.64;4.3;-0.34
311773;Santiago Mouriño;533;Estable;5.09;4.98;-0.11
166;Juan Foyth;533;Estable;4.94;4.98;0.03
237066;Rafa Marín;533;Estable;4.9;4.75;-0.15
70500;Sergi Cardona;533;Rendimiento Bajo;4.53;4.04;-0.5
3246;Nicolas Pépé;533;Rendimiento Bajo;4.98;4.63;-0.36
47541;Santi Comesaña;533;Estable;4.89;4.84;-0.05
20696;Pape Gueye;533;Rendimiento Bajo;4.88;4.38;-0.51
184226;Yéremy Pino;533;Pocos minutos;5.44;0.0;0.0
1707;Gerard Moreno;533;Rendimiento Bajo;4.93;4.57;-0.36
378284;Etta Eyong;539;Rendimiento Bajo;4.9;4.22;-0.69
51016;Tajon Buchanan;533;Estable;4.98;4.79;-0.19
928;Dani Parejo;533;Estable;4.83;4.91;0.08
182519;Alberto Moleiro;533;Rendimiento Alto;5.03;5.37;0.33
1702;Alfonso Pedraza;533;Estable;4.77;4.69;-0.08
49;Thomas Partey;533;Estable;4.44;4.72;0.28
435552;Pau Navarro;533;Estable;4.7;4.89;0.19
290740;Ilias Akhomach;728;Pocos minutos;4.5;0.0;0.0
1461;Denis Suárez;542;Estable;4.77;4.76;-0.01
46673;Aarón Escandell;718;Rendimiento Bajo;5.22;4.65;-0.56
46657;Nacho Vidal;718;Rendimiento Alto;4.53;5.01;0.48
107140;Oier Luengo;718;Pocos minutos;4.58;0.0;0.0
46966;Dani Calvo;718;Pocos minutos;4.69;0.0;0.0
295223;Abdel Rahim;718;Estable;4.59;4.62;0.03
3608;Kwasi Sibo;718;Estable;4.26;4.2;-0.06
182486;Alberto Reina;718;Estable;4.56;4.81;0.25
20844;Haissem Hassan;718;Estable;4.7;4.9;0.2
38699;Luka Ilić;718;Pocos minutos;4.08;0.0;0.0
266202;Ilyas Chaira;718;Estable;4.46;4.75;0.29
2461;Salomón Rondón;718;Estable;4.41;4.31;-0.1
