id_partido;id_equipo;id_jugador;nombre_jugador;probabilidad
1391134;727;46746;Ante Budimir;0.526
1391134;727;46658;Rubén García;0.353
1391134;727;338751;Victor Muñoz;0.338
1391134;536;25458;Dodi Lukebakio;0.463
1391134;536;57446;Akor Adams;0.435
1391134;536;48471;Ruben Vargas;0.379
1391136;718;51530;Federico Viñas;0.345
1391136;718;182486;Alberto Reina;0.308
1391136;718;266202;Ilyas Chaira;0.299
1391136;797;47013;Rafa Mir;0.378
1391136;797;161963;Germán Valera;0.373
1391136;797;343202;Álvaro Rodriguez;0.35
1391133;546;6490;Luis Vázquez;0.646
1391133;546;403554;Christantus Uche;0.378
1391133;546;47320;Juanmi;0.369
1391133;529;931;Ferran Torres;0.53
1391133;529;1496;Raphinha;0.529
1391133;529;1323;Dani Olmo;0.484
1391131;543;47582;Cucho Hernández;0.47
1391131;543;47119;Aitor Ruibal;0.404
1391131;543;1697;Pablo Fornals;0.381
1391131;541;278;Kylian Mbappé;0.72
1391131;541;336711;Gonzalo García;0.433
1391131;541;129718;Jude Bellingham;0.357
1391135;728;128582;Jorge de Frutos;0.418
1391135;728;131546;Isi Palazón;0.33
1391135;728;47557;Óscar Trejo;0.31
1391135;548;47323;Mikel Oyarzabal;0.525
