id_tiempo;anio;mes;nombre_mes;dia;nombre_dia;jornada
20210511;2021;5;Mayo;11;Martes;36
20210512;2021;5;Mayo;12;Miércoles;36
20210513;2021;5;Mayo;13;Jueves;36
20210516;2021;5;Mayo;16;Domingo;37
20210521;2021;5;Mayo;21;Viernes;38
20210522;2021;5;Mayo;22;Sábado;38
20210523;2021;5;Mayo;23;Domingo;38
20210813;2021;8;Agosto;13;Viernes;1
20210814;2021;8;Agosto;14;Sábado;1
20210815;2021;8;Agosto;15;Domingo;1
20210816;2021;8;Agosto;16;Lunes;1
20210820;2021;8;Agosto;20;Viernes;2
20210821;2021;8;Agosto;21;Sábado;2
20210822;2021;8;Agosto;22;Domingo;2
20210823;2021;8;Agosto;23;Lunes;2
20210827;2021;8;Agosto;27;Viernes;3
20210828;2021;8;Agosto;28;Sábado;3
20210829;2021;8;Agosto;29;Domingo;3
20210911;2021;9;Septiembre;11;Sábado;4
20210912;2021;9;Septiembre;12;Domingo;4
20210913;2021;9;Septiembre;13;Lunes;4
20210917;2021;9;Septiembre;17;Viernes;5
20210918;2021;9;Septiembre;18;Sábado;5
20210919;2021;9;Septiembre;19;Domingo;5
20210920;2021;9;Septiembre;20;Lunes;5
20210921;2021;9;Septiembre;21;Martes;6
20210922;2021;9;Septiembre;22;Miércoles;6
20210923;2021;9;Septiembre;23;Jueves;6
20210925;2021;9;Septiembre;25;Sábado;7
20210926;2021;9;Septiembre;26;Domingo;7
20210927;2021;9;Septiembre;27;Lunes;7
20211001;2021;10;Octubre;1;Viernes;8
20211002;2021;10;Octubre;2;Sábado;8
20211003;2021;10;Octubre;3;Domingo;8
20211016;2021;10;Octubre;16;Sábado;9
20211017;2021;10;Octubre;17;Domingo;9
20211018;2021;10;Octubre;18;Lunes;9
20211022;2021;10;Octubre;22;Viernes;10
20211023;2021;10;Octubre;23;Sábado;10
20211024;2021;10;Octubre;24;Domingo;10
20211025;2021;10;Octubre;25;Lunes;10
20211026;2021;10;Octubre;26;Martes;11
20211027;2021;10;Octubre;27;Miércoles;11
20211028;2021;10;Octubre;28;Jueves;11
20211030;2021;10;Octubre;30;Sábado;12
20211031;2021;10;Octubre;31;Domingo;12
20211101;2021;11;Noviembre;1;Lunes;12
20211105;2021;11;Noviembre;5;Viernes;13
20211106;2021;11;Noviembre;6;Sábado;13
20211107;2021;11;Noviembre;7;Domingo;13
20211119;2021;11;Noviembre;19;Viernes;14
20211120;2021;11;Noviembre;20;Sábado;14
20211121;2021;11;Noviembre;21;Domingo;14
20211122;2021;11;Noviembre;22;Lunes;14
20211126;2021;11;Noviembre;26;Viernes;15
20211127;2021;11;Noviembre;27;Sábado;15
20211128;2021;11;Noviembre;28;Domingo;15
20211129;2021;11;Noviembre;29;Lunes;15
20211201;2021;12;Diciembre;1;Miércoles;9
20211203;2021;12;Diciembre;3;Viernes;16
20211204;2021;12;Diciembre;4;Sábado;16
20211205;2021;12;Diciembre;5;Domingo;16
20211206;2021;12;Diciembre;6;Lunes;16
20211210;2021;12;Diciembre;10;Viernes;17
20211211;2021;12;Diciembre;11;Sábado;17
20211212;2021;12;Diciembre;12;Domingo;17
20211213;2021;12;Diciembre;13;Lunes;17
20211217;2021;12;Diciembre;17;Viernes;18
20211218;2021;12;Diciembre;18;Sábado;18
20211219;2021;12;Diciembre;19;Domingo;18
20211220;2021;12;Diciembre;20;Lunes;18
20211221;2021;12;Diciembre;21;Martes;4
20211222;2021;12;Diciembre;22;Miércoles;9
20211231;2021;12;Diciembre;31;Viernes;19
20220102;2022;1;Enero;2;Domingo;19
20220103;2022;1;Enero;3;Lunes;19
20220108;2022;1;Enero;8;Sábado;20
20220109;2022;1;Enero;9;Domingo;20
20220110;2022;1;Enero;10;Lunes;20
20220116;2022;1;Enero;16;Domingo;21
20220118;2022;1;Enero;18;Martes;21
20220119;2022;1;Enero;19;Miércoles;21
20220120;2022;1;Enero;20;Jueves;21
20220121;2022;1;Enero;21;Viernes;22
20220122;2022;1;Enero;22;Sábado;22
20220123;2022;1;Enero;23;Domingo;22
20220204;2022;2;Febrero;4;Viernes;23
20220205;2022;2;Febrero;5;Sábado;23
20220206;2022;2;Febrero;6;Domingo;23
20220207;2022;2;Febrero;7;Lunes;23
20220211;2022;2;Febrero;11;Viernes;24
20220212;2022;2;Febrero;12;Sábado;24
20220213;2022;2;Febrero;13;Domingo;24
20220214;2022;2;Febrero;14;Lunes;24
20220216;2022;2;Febrero;16;Miércoles;21
20220218;2022;2;Febrero;18;Viernes;25
20220219;2022;2;Febrero;19;Sábado;25
20220220;2022;2;Febrero;20;Domingo;25
20220221;2022;2;Febrero;21;Lunes;25
20220225;2022;2;Febrero;25;Viernes;26
20220226;2022;2;Febrero;26;Sábado;26
20220227;2022;2;Febrero;27;Domingo;26
20220228;2022;2;Febrero;28;Lunes;26
20220302;2022;3;Marzo;2;Miércoles;21
20220304;2022;3;Marzo;4;Viernes;27
20220305;2022;3;Marzo;5;Sábado;27
20220306;2022;3;Marzo;6;Domingo;27
20220307;2022;3;Marzo;7;Lunes;27
20220311;2022;3;Marzo;11;Viernes;28
20220312;2022;3;Marzo;12;Sábado;28
20220313;2022;3;Marzo;13;Domingo;28
20220314;2022;3;Marzo;14;Lunes;28
20220318;2022;3;Marzo;18;Viernes;29
20220319;2022;3;Marzo;19;Sábado;29
20220320;2022;3;Marzo;20;Domingo;29
20220402;2022;4;Abril;2;Sábado;30
20220403;2022;4;Abril;3;Domingo;30
20220404;2022;4;Abril;4;Lunes;30
20220408;2022;4;Abril;8;Viernes;31
20220409;2022;4;Abril;9;Sábado;31
20220410;2022;4;Abril;10;Domingo;31
20220411;2022;4;Abril;11;Lunes;31
20220415;2022;4;Abril;15;Viernes;32
20220416;2022;4;Abril;16;Sábado;32
20220417;2022;4;Abril;17;Domingo;32
20220418;2022;4;Abril;18;Lunes;32
20220419;2022;4;Abril;19;Martes;33
20220420;2022;4;Abril;20;Miércoles;33
20220421;2022;4;Abril;21;Jueves;33
20220424;2022;4;Abril;24;Domingo;21
20220429;2022;4;Abril;29;Viernes;34
20220430;2022;4;Abril;30;Sábado;34
20220501;2022;5;Mayo;1;Domingo;34
20220502;2022;5;Mayo;2;Lunes;34
20220506;2022;5;Mayo;6;Viernes;35
20220507;2022;5;Mayo;7;Sábado;35
20220508;2022;5;Mayo;8;Domingo;35
20220510;2022;5;Mayo;10;Martes;36
20220511;2022;5;Mayo;11;Miércoles;36
20220512;2022;5;Mayo;12;Jueves;36
20220514;2022;5;Mayo;14;Sábado;37
20220515;2022;5;Mayo;15;Domingo;37
20220520;2022;5;Mayo;20;Viernes;38
20220521;2022;5;Mayo;21;Sábado;38
20220522;2022;5;Mayo;22;Domingo;38
20220812;2022;8;Agosto;12;Viernes;1
20220813;2022;8;Agosto;13;Sábado;1
20220814;2022;8;Agosto;14;Domingo;1
20220815;2022;8;Agosto;15;Lunes;1
20220819;2022;8;Agosto;19;Viernes;2
20220820;2022;8;Agosto;20;Sábado;2
20220821;2022;8;Agosto;21;Domingo;2
20220822;2022;8;Agosto;22;Lunes;2
20220826;2022;8;Agosto;26;Viernes;3
20220827;2022;8;Agosto;27;Sábado;3
20220828;2022;8;Agosto;28;Domingo;3
20220829;2022;8;Agosto;29;Lunes;3
20220902;2022;9;Septiembre;2;Viernes;4
20220903;2022;9;Septiembre;3;Sábado;4
20220904;2022;9;Septiembre;4;Domingo;4
20220905;2022;9;Septiembre;5;Lunes;4
20220909;2022;9;Septiembre;9;Viernes;5
20220910;2022;9;Septiembre;10;Sábado;5
20220911;2022;9;Septiembre;11;Domingo;5
20220912;2022;9;Septiembre;12;Lunes;5
20220916;2022;9;Septiembre;16;Viernes;6
20220917;2022;9;Septiembre;17;Sábado;6
20220918;2022;9;Septiembre;18;Domingo;6
20220930;2022;9;Septiembre;30;Viernes;7
20221001;2022;10;Octubre;1;Sábado;7
20221002;2022;10;Octubre;2;Domingo;7
20221003;2022;10;Octubre;3;Lunes;7
20221007;2022;10;Octubre;7;Viernes;8
20221008;2022;10;Octubre;8;Sábado;8
20221009;2022;10;Octubre;9;Domingo;8
20221010;2022;10;Octubre;10;Lunes;8
20221014;2022;10;Octubre;14;Viernes;9
20221015;2022;10;Octubre;15;Sábado;9
20221016;2022;10;Octubre;16;Domingo;9
20221017;2022;10;Octubre;17;Lunes;9
20221018;2022;10;Octubre;18;Martes;10
20221019;2022;10;Octubre;19;Miércoles;10
20221020;2022;10;Octubre;20;Jueves;10
20221022;2022;10;Octubre;22;Sábado;11
20221023;2022;10;Octubre;23;Domingo;11
20221024;2022;10;Octubre;24;Lunes;11
20221028;2022;10;Octubre;28;Viernes;12
20221029;2022;10;Octubre;29;Sábado;12
20221030;2022;10;Octubre;30;Domingo;12
20221031;2022;10;Octubre;31;Lunes;12
20221104;2022;11;Noviembre;4;Viernes;13
20221105;2022;11;Noviembre;5;Sábado;13
20221106;2022;11;Noviembre;6;Domingo;13
20221107;2022;11;Noviembre;7;Lunes;13
20221108;2022;11;Noviembre;8;Martes;14
20221109;2022;11;Noviembre;9;Miércoles;14
20221110;2022;11;Noviembre;10;Jueves;14
20221229;2022;12;Diciembre;29;Jueves;15
20221230;2022;12;Diciembre;30;Viernes;15
20221231;2022;12;Diciembre;31;Sábado;15
20230106;2023;1;Enero;6;Viernes;16
20230107;2023;1;Enero;7;Sábado;16
20230108;2023;1;Enero;8;Domingo;16
20230109;2023;1;Enero;9;Lunes;16
20230113;2023;1;Enero;13;Viernes;17
20230114;2023;1;Enero;14;Sábado;17
20230115;2023;1;Enero;15;Domingo;17
20230116;2023;1;Enero;16;Lunes;17
20230120;2023;1;Enero;20;Viernes;18
20230121;2023;1;Enero;21;Sábado;18
20230122;2023;1;Enero;22;Domingo;18
20230123;2023;1;Enero;23;Lunes;18
20230127;2023;1;Enero;27;Viernes;19
20230128;2023;1;Enero;28;Sábado;19
20230129;2023;1;Enero;29;Domingo;19
20230130;2023;1;Enero;30;Lunes;19
20230201;2023;2;Febrero;1;Miércoles;17
20230202;2023;2;Febrero;2;Jueves;17
20230203;2023;2;Febrero;3;Viernes;20
20230204;2023;2;Febrero;4;Sábado;20
20230205;2023;2;Febrero;5;Domingo;20
20230206;2023;2;Febrero;6;Lunes;20
20230210;2023;2;Febrero;10;Viernes;21
20230211;2023;2;Febrero;11;Sábado;21
20230212;2023;2;Febrero;12;Domingo;21
20230213;2023;2;Febrero;13;Lunes;21
20230215;2023;2;Febrero;15;Miércoles;21
20230217;2023;2;Febrero;17;Viernes;22
20230218;2023;2;Febrero;18;Sábado;22
20230219;2023;2;Febrero;19;Domingo;22
20230220;2023;2;Febrero;20;Lunes;22
20230224;2023;2;Febrero;24;Viernes;23
20230225;2023;2;Febrero;25;Sábado;23
