id_jugador;nombre_jugador;id_equipo;posicion;estado;score_temporada;score_reciente;evolucion
437637;Mikel Santos;531;Portero;Pocos minutos;0.0;0.0;0.0
128398;Oihan Sancet;531;Mediocentro;Rendimiento Alto;1.44;22.74;21.3
183776;Urko Izeta;531;Delantero;Pocos minutos;0.62;0.0;0.0
183799;Nico Williams;531;Mediocentro;Rendimiento Alto;4.18;26.7;22.52
183848;Julen Agirrezabala;531;Portero;Estable;1.48;3.59;2.11
183849;Aitor Paredes;531;Defensa;Estable;6.76;6.42;-0.34
335490;Jon de Luis;531;Defensa;Pocos minutos;0.0;0.0;0.0
313025;Hugo Rincón;531;Defensa;Rendimiento Alto;2.36;6.01;3.65
30510;Álex Berenguer;531;Mediocentro;Rendimiento Alto;3.0;27.5;24.5
560954;A. Hierro;531;Delantero;Pocos minutos;1.0;0.0;0.0
560978;E. Garcia;531;Mediocentro;Pocos minutos;0.0;0.0;0.0
286593;Nico Serrano;531;Delantero;Pocos minutos;0.67;0.0;0.0
47007;Ruíz de Galarreta;531;Mediocentro;Rendimiento Alto;1.63;32.59;30.95
182181;Jesús Areso;531;Defensa;Estable;4.53;4.84;0.31
83;A. Danjuma;532;Delantero;Estable;2.2;4.81;2.61
47251;D. Foulquier;532;Defensa;Estable;4.36;4.32;-0.04
47264;Hugo Duro;532;Delantero;Rendimiento Alto;1.95;6.1;4.15
41157;André Almeida;532;Mediocentro;Rendimiento Alto;1.69;44.89;43.2
315699;Javi Guerra;532;Mediocentro;Pocos minutos;1.29;0.0;0.0
315701;Rubo Iranzo;532;Defensa;Pocos minutos;2.0;0.0;0.0
162127;Diego López;532;Mediocentro;Rendimiento Alto;0.71;12.62;11.91
47463;Pepelu;532;Mediocentro;Rendimiento Alto;3.63;57.31;53.68
162175;Jesús Vázquez;532;Defensa;Estable;4.52;4.58;0.06
47527;S. Dimitrievski;532;Portero;Rendimiento Alto;1.47;5.05;3.58
551365;P. Lopez;532;Delantero;Pocos minutos;0.0;0.0;0.0
584165;A. Panach;532;Defensa;Pocos minutos;0.0;0.0;0.0
406043;Lucas Nuñez;532;Mediocentro;Pocos minutos;0.0;0.0;0.0
406045;Aimar Blázquez;532;Delantero;Pocos minutos;0.0;0.0;0.0
406046;Pablo López;532;Delantero;Pocos minutos;0.0;0.0;0.0
401983;Vicent Abril;532;Portero;Pocos minutos;0.0;0.0;0.0
21153;B. Santamaría;532;Mediocentro;Pocos minutos;0.65;0.0;0.0
31406;U. Sadiq;532;Delantero;Estable;1.67;4.55;2.88
297743;Javier Navarro Girona;532;Mediocentro;Pocos minutos;0.0;0.0;0.0
913;Cristian Rivero;532;Portero;Pocos minutos;0.0;0.0;0.0
916;M. Diakhaby;532;Defensa;Estable;5.55;6.59;1.04
918;José Gayà;532;Defensa;Estable;5.76;5.21;-0.55
623732;Joel Fontanet;532;Defensa;Pocos minutos;0.0;0.0;0.0
48372;E. Cömert;532;Defensa;Pocos minutos;6.25;0.0;0.0
439578;David Otorbi;532;Delantero;Pocos minutos;0.0;0.0;0.0
181582;Copete;532;Defensa;Estable;6.79;6.13;-0.66
48465;F. Ugrinic;532;Mediocentro;Rendimiento Alto;1.64;33.2;31.56
1482;Thierry Correia;532;Defensa;Rendimiento Bajo;5.6;4.32;-1.28
138776;L. Ramazani;532;Delantero;Pocos minutos;1.55;0.0;0.0
183848;Julen Agirrezabala;532;Portero;Estable;1.06;3.59;2.53
1708;Dani Raba;532;Delantero;Pocos minutos;0.55;0.0;0.0
417560;Marcos Navarro;532;Defensa;Pocos minutos;0.0;0.0;0.0
46933;Luis Rioja;532;Mediocentro;Rendimiento Alto;2.35;22.72;20.37
333672;César Tárrega;532;Defensa;Rendimiento Bajo;6.79;5.51;-1.28
6010;L. Beltrán;532;Mediocentro;Rendimiento Alto;1.39;16.16;14.77
49;T. Partey;533;Mediocentro;Rendimiento Alto;0.57;37.34;36.77
411702;Pau Cabanes;533;Delantero;Pocos minutos;0.0;0.0;0.0
122956;Diego Conde;533;Portero;Pocos minutos;0.0;0.0;0.0
278619;Luíz Júnior;533;Portero;Estable;1.59;4.31;2.72
184420;Carlos Romero;533;Defensa;Estable;9.6;9.67;0.07
166;J. Foyth;533;Defensa;Estable;5.89;7.44;1.55
20696;P. Gueye;533;Mediocentro;Rendimiento Alto;1.29;25.01;23.73
182519;Alberto Moleiro;533;Mediocentro;Rendimiento Alto;2.3;18.84;16.54
180496;G. Mikautadze;533;Delantero;Rendimiento Alto;3.13;7.04;3.91
162122;Adrià Alti;533;Defensa;Pocos minutos;2.0;0.0;0.0
418188;M. Barry;533;Delantero;Pocos minutos;0.0;0.0;0.0
463280;A. Diatta;533;Mediocentro;Pocos minutos;0.0;0.0;0.0
